question_id,prompt,A,B,C,D,E,answer,difficulty
143,Which of these nations was the first to establish a trading presence in Asia by finding a sea route to India?,Spain,England,France,Portugal,Italy,D.,0.64
144,"Claudius Ptolemy's geocentric theory of astronomy was not disproved until the sixteenth century, when the heliocentric theory was introduced by",Aristotle,Copernicus,Galileo,Kepler,Brahe,B.,0.33
145,Which of these statements MOST accurately describes the Bantu people of sub-Saharan Africa?,They initially organized into a stateless society composed of numerous villages.,They developed a class system that divided people along the lines of social importance.,They relied on a trans-Saharan gold and salt trade for economic and physical survival.,They practiced a monotheistic religion similar to that of the Hebrews.,They experienced violent clashes with the Muslim population in Africa.,A.,0.28
146,The Treaty of Versailles contained all of the following provisions EXCEPT a,demand that Germany cede the territory of Alsace-Lorraine to France,condition that placed permanent restrictions on the size of the Germany army,clause that required Germany to be held solely responsible for starting the war,stipulation that forced Germany to pay for the right to retain its African colonies,requirement that prevented Germany from manufacturing or importing weapons,D.,0.02
147,"Respect for elders and ancestors, emphasis on effective government, and the belief that order and harmony can exist only if leaders cooperate with the most highly educated are all major philosophical tenets of",Daoism,Confucianism,Shintoism,Buddhism,Legalism,B.,0.48
148,The departure of Alexander the Great and his forces from India in 325 BCE led directly to the,rise of the Mauryan Empire,decline of Indian Buddhism,reemergence of Hinduism,formation of the Gupta Empire,decentralization of Indian government,A.,0.65
149,Which twentieth-century school of art produced works that were primarily whimsical in tone and devoid of any single specific meaning?,Surrealism,Dadaism,Expressionism,Functionalism,Cubism,B.,0.8
150,Which of these was primarily responsible for the tensions between China and Great Britain that led to the Anglo-Chinese War in 1839?,Chinese desire for independent self-rule,British importation of opium into China,Westernization of Chinese society,Territorial control over Hong Kong,Spread of communist influence,B,0.82
151,"""The heart of the idea of the social contract may be stated simply: Each of us places his person and authority under the supreme direction of the general will, and the group receives each individual as an indivisible part of the whole."" Which of these would be LEAST likely to agree with the statement above?",John Locke,Voltaire,Thomas Hobbes,Montesquieu,Jean-Jacques Rousseau,C,0.98
152,The Crusades had all of the following effects on Europe EXCEPT a/an,increase in the power of European monarchs,elevation in the social status of women,emergence of a middle class in society,decline of trade between Europe and the East,increase in the political strength of the church,D,0.58
153,Japan and the countries of Western Europe were most similar around the thirteenth century in that both,established strong centralized governments,experienced a series of civil wars,developed intricate feudal systems,advanced the social status of women,endured invasion by Mongol forces,C,0.53
155,The influence of Minoan culture on Mycenaean culture was MOST evident in the Mycenaean,written language,interest in metallurgy,system of trade,social class structure,religious practices,A,0.62
156,"In 1975, the Khmer Rouge, led by Pol Pot, attempted to establish communist rule in which country?",Thailand,Cambodia,Laos,Malaysia,Burma,B,0.44
157,"The Balfour Declaration, issued by Britain in 1917, clarified England's position on the",Indian movement for independence from British rule,discriminatory South African policy of apartheid,establishment of a Jewish state in Palestine,formation of the Soviet Union under Lenin,proposed terms of German surrender in World War I,C,0.11
158,"In 1908, facing international criticism for his harsh treatment of the Congolese in the Congo Free State, King Leopold II was forced to",agree to Congolese independence and abdicate,relinquish his control and pay reparations,surrender his authority in the Congo to British forces,cede control of the Congo Free State to the Belgian government,adopt humanitarian policies that ended hostilities,D,0.25
159,The Upanishads contain the core philosophy and central teachings of which world religion?,Buddhism,Hinduism,Jainism,Shintoism,Zoroastrianism,B,0.05
160,Which of the following was a significant change instituted during the reign of the 'Abbasid Empire?,Non-Arab Muslims were allowed to hold civil and military office.,The Islamic capital was moved from Mecca to Damascus.,A hereditary method of succession was put in place.,Islam was divided into the major sects of Sunni and Shia.,The Byzantine capital of Constantinople was conquered.,A,0.28
161,Early human cultures in the Paleolithic Age were characterized by all of these EXCEPT the,development of language,prevalence of hunter-gatherers,emergence of agriculture,appearance of artwork,practice of funereal rituals,C,0.86
162,The Ottoman policy of devsirme primarily served to,cement governmental control,increase military manpower,maintain religious freedom,improve agricultural productivity,ensure economic stability,B,0.65
163,Which of these was NOT one of the global effects of the Industrial Revolution?,Decline in the colonization of foreign territories by industrial powers,Widening of the divide between industrialized and non-industrialized nations,Lessening of isolation between distant world cultures,Increase in Europe's economic power,Strengthening of the political influence of the middle class,A,0.86
